(24.726405 59.398497),2004
(24.748805 59.434405),2013
(24.751089 59.434361),2015
(24.726473 59.396803),2018
(24.744596 59.441991),201A
(24.731415 59.435038),201B
(24.749249 59.431008),201C
(24.727659 59.400998),201D
(24.731193 59.431265),201E
(24.746573 59.434192),201F
(24.719379 59.402491),2021
(24.732837 59.402407),2024
(24.734726 59.433032),2025
(24.725675 59.434387),2026
(24.726757 59.427813),2027
(24.722887 59.402299),2028
(24.750995 59.442923),2029
(24.723717 59.431309),202A
(24.723494 59.432043),202D
(24.729813 59.435092),202E
(24.73702 59.432034),202F
(24.727411 59.431803),2030
(24.728466 59.435014),2032
(24.763268 59.434956),2035
(24.743873 59.428292),2037
(24.714059 59.420739),2039
(24.719935 59.433422),203B
(24.73828 59.43218),203C
(24.752064 59.43462),203D
(24.750186 59.431017),203F
(24.749885 59.4341),2042
(24.714088 59.402131),2043
(24.726926 59.434808),2044
(24.749158 59.44281),2045
(24.726248 59.431688),204C
(24.74067 59.429333),204D
(24.757766 59.433126),204E
(24.733143 59.433312),2051
(24.748796 59.435364),2052
(24.725758 59.432422),2054
(24.725671 59.433803),2056
(24.730259 59.432122),2057
(24.730551 59.433001),2058
(24.759221 59.433249),205C
(24.727193 59.429279),205F
(24.763331 59.432652),2063
(24.753867 59.44071),2068
(24.749725 59.431847),206B
(24.739189 59.431622),2072
(24.752696 59.441438),2074
(24.726027 59.395913),2078
(24.754739 59.431912),207B
(24.744362 59.429832),207E
(24.7396 59.432433),2085
(24.752092 59.43402),2086
(24.746678 59.442144),2087
(24.745459 59.430419),2088
(24.740757 59.432007),208D
(24.738853 59.431091),2091
(24.736191 59.431959),2092
(24.715183 59.402276),2093
(24.755692 59.434752),209C
(24.737779 59.429565),209D
(24.756163 59.433814),20A5
(24.731677 59.401892),20A6
(24.730341 59.430393),20A9
(24.741617 59.430754),20C3
(24.750376 59.431462),20CF
(24.760999 59.433338),20D0
(24.731094 59.430697),20D6
(24.747237 59.434506),2109
(24.754565 59.431346),2130
(24.759797 59.433601),2133
(24.726896 59.433435),2135
(24.726871 59.434218),2137
(24.751737 59.432049),214E
(24.732095 59.434985),2159
(24.760521 59.432988),21AA
(24.743087 59.428657),21B9
(24.718173 59.414682),21BF
(24.756515 59.432839),21C1
(24.789715 59.424734),21C2
(24.74581 59.428095),21C3
(24.743955 59.432142),21DC
(24.648347 59.398139),2212
(24.653811 59.394946),2214
(24.663593 59.391898),2215
(24.768943 59.438001),2216
(24.759789 59.431849),2217
(24.746411 59.42916),2218
(24.783609 59.424759),221E
(24.652076 59.397084),2225
(24.725475 59.428335),2226
(24.646819 59.39844),2231
(24.649508 59.397839),2233
(24.729169 59.429792),2234
(24.754122 59.439009),2236
(24.773539 59.429444),2238
(24.75929 59.431816),223C
(24.769749 59.431045),223D
(24.782806 59.425502),2240
(24.662319 59.39407),2241
(24.784648 59.440443),2242
(24.768521 59.431494),224B
(24.78564 59.42439),225D
(24.760107 59.430989),2264
(24.743524 59.431163),2265
(24.787669 59.422099),2266
(24.759719 59.431359),2267
(24.663918 59.391257),226E
(24.775069 59.440066),226F
(24.775823 59.42883),2279
(24.778692 59.430446),2279
(24.745523 59.429609),227A
(24.758254 59.432146),227E
(24.805387 59.434934),2281
(24.657074 59.395675),2284
(24.800082 59.435197),2288
(24.785296 59.42272),2289
(24.673979 59.393736),228E
(24.726533 59.431009),2290
(24.818322 59.444211),2293
(24.812241 59.443441),2297
(24.825102 59.440345),2298
(24.647442 59.394943),229A
(24.673039 59.395213),229B
(24.80241 59.443349),229D
(24.66507 59.391422),229E
(24.808206 59.435623),229F
(24.81966 59.446008),22A0
(24.860349 59.441371),22A3
(24.783486 59.439988),22A7
(24.671624 59.392313),22A9
(24.798492 59.434756),22AA
(24.672817 59.392476),22B2
(24.662787 59.393214),22B4
(24.775999 59.42836),22B9
(24.781735 59.430896),22BA
(24.778258 59.427343),22C1
(24.765954 59.43208),22C3
(24.830771 59.439431),22CC
(24.754025 59.439813),22D3
(24.818094 59.446127),22D6
(24.721591 59.427824),22D7
(24.711944 59.431647),22D8
(24.746772 59.432815),22E4
(24.655456 59.394639),22E5
(24.77734 59.439283),22E7
(24.818401 59.439039),22EB
(24.853427 59.440383),22F0
(24.762171 59.43736),22F1
(24.76208 59.432114),22F6
(24.653364 59.39673),22F7
(24.803906 59.435185),22F9
(24.757828 59.435726),22FC
(24.686673 59.399286),22FD
(24.759865 59.437098),22FE
(24.682296 59.398977),22FF
(24.757777 59.435075),2300
(24.80162 59.435099),2304
(24.796388 59.434873),2305
(24.726284 59.429027),230D
(24.763869 59.434047),230E
(24.659825 59.395479),2311
(24.64529 59.397972),2315
(24.732951 59.406085),2316
(24.658555 59.395276),2317
(24.723338 59.420504),2319
(24.819663 59.43929),231E
(24.85042 59.440226),231F
(24.861746 59.441465),2320
(24.753943 59.438003),2322
(24.758646 59.437404),2323
(24.763834 59.437181),2324
(24.73733 59.422253),2325
(24.760458 59.436101),2327
(24.788795 59.422565),2329
(24.790941 59.434279),232B
(24.714419 59.432413),232C
(24.759021 59.433888),2330
(24.761449 59.434971),2331
(24.76029 59.43559),2332
(24.75756 59.436878),2333
(24.760495 59.437351),2334
(24.806156 59.435672),2335
(24.854773 59.440596),2337
(24.783157 59.431416),2338
(24.816826 59.438038),2339
(24.680598 59.398742),233B
(24.708634 59.413882),233D
(24.706197 59.410884),233F
(24.758144 59.43108),2344
(24.693761 59.400941),2346
(24.747618 59.428686),2348
(24.723788 59.39259),2349
(24.757236 59.437963),234A
(24.644032 59.394819),234B
(24.688057 59.399672),234E
(24.76463 59.432344),2352
(24.77453 59.438709),2353
(24.704173 59.408352),2355
(24.776957 59.42928),2358
(24.711123 59.417949),235D
(24.748254 59.433033),235E
(24.749334 59.433566),2360
(24.780253 59.430511),2364
(24.825527 59.43923),2368
(24.779882 59.439426),236B
(24.732471 59.423049),236F
(24.672756 59.396092),2371
(24.71531 59.432881),2373
(24.793378 59.434994),2374
(24.785829 59.432448),2377
(24.837022 59.440112),2379
(24.667527 59.397066),237B
(24.693419 59.406793),237E
(24.808285 59.436221),237F
(24.671454 59.397587),2381
(24.809506 59.436559),2383
(24.662828 59.396009),2384
(24.7021 59.406111),2385
(24.814461 59.444639),2388
(24.844798 59.44003),238B
(24.770924 59.438307)),238C
(24.757215 59.436206),2390
(24.752511 59.43655),2391
(24.773473 59.438874),2393
(24.742677 59.432504),2394
(24.76725 59.431787),2395
(24.78857 59.424584),2396
(24.846342 59.440092),2397
(24.856255 59.440649),2398
(24.788458 59.432873),239A
(24.754696 59.437261),239D
(24.757853 59.434588),239E
(24.745592 59.432979),239F
(24.704671 59.403827),23A3
(24.797665 59.435344),23A5
(24.65097 59.395017),23A9
(24.663177 59.397584),23AE
(24.745706 59.432006),23B1
(24.759082 59.43559),23B3
